Iteration	Posterior	Likelihood	Prior	mu_morpho
0	-16539.2	-16538.5	-0.642745	0.6427447
100	-7607.43	-7607.43	-0.00449446	0.004494456
200	-7607.51	-7607.5	-0.00448454	0.004484538
300	-7608.35	-7608.34	-0.00440534	0.004405336
400	-7608.67	-7608.67	-0.00487088	0.004870881
500	-7607.3	-7607.3	-0.00473252	0.004732521
600	-7607.27	-7607.26	-0.0047264	0.0047264
700	-7607.77	-7607.77	-0.00479243	0.004792426
800	-7607.94	-7607.94	-0.00443924	0.004439243
900	-7607.43	-7607.43	-0.00475197	0.004751967
